Date,Open,High,Low,Close,Adj Close,Volume
2007-10-29,64.275.000.000,65.670.000.000,64.275.000.000,65.044.000.000,65.044.000.000,7741000
2007-10-30,65.044.000.000,65.147.000.000,64.264.000.000,64.383.000.000,64.383.000.000,7817400
2007-10-31,64.385.000.000,65.949.000.000,64.385.000.000,65.318.000.000,65.318.000.000,4318400
2007-11-01,65.317.000.000,65.317.000.000,63.774.000.000,64.050.000.000,64.050.000.000,6187200
2007-11-05,64.049.000.000,64.049.000.000,62.720.000.000,62.960.000.000,62.960.000.000,9279400
2007-11-06,62.967.000.000,64.524.000.000,62.967.000.000,64.503.000.000,64.503.000.000,4556000
2007-11-07,64.503.000.000,64.603.000.000,63.223.000.000,63.501.000.000,63.501.000.000,112200
2007-11-08,63.503.000.000,65.283.000.000,63.140.000.000,63.562.000.000,63.562.000.000,7195800
2007-11-09,63.571.000.000,65.281.000.000,62.279.000.000,64.321.000.000,64.321.000.000,6871000
2007-11-12,64.321.000.000,64.321.000.000,61.452.000.000,61.527.000.000,61.527.000.000,5393400
2007-11-13,61.526.000.000,62.933.000.000,61.034.000.000,62.927.000.000,62.927.000.000,5980600
2007-11-14,62.919.000.000,64.896.000.000,62.919.000.000,64.631.000.000,64.631.000.000,10894400
2007-11-16,64.634.000.000,64.802.000.000,63.627.000.000,64.609.000.000,64.609.000.000,4450600
2007-11-19,64.609.000.000,64.609.000.000,62.321.000.000,62.336.000.000,62.336.000.000,3819200
2007-11-21,62.335.000.000,62.335.000.000,59.847.000.000,60.582.000.000,60.582.000.000,6540600
2007-11-22,60.582.000.000,61.102.000.000,60.124.000.000,60.653.000.000,60.653.000.000,2223600
2007-11-23,60.662.000.000,61.334.000.000,60.662.000.000,60.971.000.000,60.971.000.000,8923600
2007-11-26,60.973.000.000,61.560.000.000,59.067.000.000,59.069.000.000,59.069.000.000,6195600
2007-11-27,59.067.000.000,59.971.000.000,58.096.000.000,59.432.000.000,59.432.000.000,6147400
2007-11-28,59.432.000.000,61.858.000.000,59.432.000.000,61.715.000.000,61.715.000.000,6116600
2007-11-29,61.720.000.000,63.190.000.000,61.465.000.000,62.156.000.000,62.156.000.000,5978200
2007-11-30,62.157.000.000,63.701.000.000,62.157.000.000,63.006.000.000,63.006.000.000,4849000
2007-12-03,63.018.000.000,63.682.000.000,62.729.000.000,63.200.000.000,63.200.000.000,0
2007-12-04,63.203.000.000,63.722.000.000,62.373.000.000,63.482.000.000,63.482.000.000,0
2007-12-05,63.483.000.000,65.204.000.000,63.483.000.000,64.928.000.000,64.928.000.000,0
2007-12-06,64.929.000.000,65.791.000.000,64.692.000.000,65.791.000.000,65.791.000.000,3108800
2007-12-07,65.789.000.000,66.529.000.000,65.278.000.000,65.639.000.000,65.639.000.000,2289000
2007-12-10,65.642.000.000,65.874.000.000,65.228.000.000,65.446.000.000,65.446.000.000,3680000
2007-12-11,65.448.000.000,66.451.000.000,64.127.000.000,64.512.000.000,64.512.000.000,4639800
2007-12-12,64.512.000.000,66.171.000.000,64.502.000.000,64.742.000.000,64.742.000.000,0
2007-12-13,64.735.000.000,64.735.000.000,62.466.000.000,62.861.000.000,62.861.000.000,2936800
2007-12-14,62.868.000.000,63.455.000.000,62.445.000.000,62.445.000.000,62.445.000.000,3054000
2007-12-17,62.445.000.000,62.445.000.000,59.820.000.000,59.828.000.000,59.828.000.000,2242400
2007-12-18,59.832.000.000,61.421.000.000,59.414.000.000,61.096.000.000,61.096.000.000,3616600
2007-12-19,61.108.000.000,61.734.000.000,60.915.000.000,61.722.000.000,61.722.000.000,0
